1	7c090235-3134-4ff3-aa6e-7f0c5078280b	TRANSIENT	
2	8409df82-5636-4f8d-89b0-e6cba55302e8	TRANSIENT	
3	7c090235-3134-4ff3-aa6e-7f0c5078280b	15	hier kommt der Data shit hin	
4	8409df82-5636-4f8d-89b0-e6cba55302e8	5	hier kommt der Data shit hin	
5	8409df82-5636-4f8d-89b0-e6cba55302e8	COMMITTED	
6	7c090235-3134-4ff3-aa6e-7f0c5078280b	COMMITTED	
7	cb8219c8-6b4a-44f7-8cfd-4458af7fde44	TRANSIENT	
8	ad5c07d4-8089-419f-8436-fc856d8b81df	TRANSIENT	
9	ad5c07d4-8089-419f-8436-fc856d8b81df	8	hier kommt der Data shit hin	
10	cb8219c8-6b4a-44f7-8cfd-4458af7fde44	13	hier kommt der Data shit hin	
11	ad5c07d4-8089-419f-8436-fc856d8b81df	COMMITTED	
12	cb8219c8-6b4a-44f7-8cfd-4458af7fde44	COMMITTED	
13	94864910-9c83-4d56-a10d-f7d8ee3b5ec7	TRANSIENT	
14	3895c33c-050f-4cb4-8c6b-092f59606b1b	TRANSIENT	
15	3895c33c-050f-4cb4-8c6b-092f59606b1b	12	hier kommt der Data shit hin	
16	94864910-9c83-4d56-a10d-f7d8ee3b5ec7	5	hier kommt der Data shit hin	
17	3895c33c-050f-4cb4-8c6b-092f59606b1b	COMMITTED	
18	94864910-9c83-4d56-a10d-f7d8ee3b5ec7	COMMITTED	
19	80446865-7002-4e02-bf2e-efebc0d27233	TRANSIENT	
20	c3a5d351-134d-4fed-922b-17427a26c953	TRANSIENT	
21	80446865-7002-4e02-bf2e-efebc0d27233	8	hier kommt der Data shit hin	
22	c3a5d351-134d-4fed-922b-17427a26c953	18	hier kommt der Data shit hin	
23	c3a5d351-134d-4fed-922b-17427a26c953	COMMITTED	
24	80446865-7002-4e02-bf2e-efebc0d27233	COMMITTED	
25	00bdedd2-1d29-426a-a30f-9b6bcf4b1314	TRANSIENT	
26	df84eaec-8801-4d41-b087-3d9b29467b83	TRANSIENT	
27	00bdedd2-1d29-426a-a30f-9b6bcf4b1314	2	hier kommt der Data shit hin	
28	00bdedd2-1d29-426a-a30f-9b6bcf4b1314	COMMITTED	
29	df84eaec-8801-4d41-b087-3d9b29467b83	11	hier kommt der Data shit hin	
30	df84eaec-8801-4d41-b087-3d9b29467b83	COMMITTED	
31	c840f93d-dab7-45ed-ac8d-acb51d4adb5e	TRANSIENT	
32	38c2f8f7-0e7b-4686-b1a4-a3419a2e02b9	TRANSIENT	
33	c840f93d-dab7-45ed-ac8d-acb51d4adb5e	11	hier kommt der Data shit hin	
34	38c2f8f7-0e7b-4686-b1a4-a3419a2e02b9	4	hier kommt der Data shit hin	
35	38c2f8f7-0e7b-4686-b1a4-a3419a2e02b9	COMMITTED	
36	c840f93d-dab7-45ed-ac8d-acb51d4adb5e	COMMITTED	
37	56bf3882-17fa-48d7-b455-fcf87d541803	TRANSIENT	
38	20b601dd-d79a-4348-9a52-1e144fcc679d	TRANSIENT	
39	c3f008ea-8517-4eed-b8ad-31a0f1d010da	TRANSIENT	
40	6c464a62-334f-4b2e-91d7-badce0ea5bc4	TRANSIENT	
41	d08b1968-8bc7-4e85-83da-9d7ce0625062	TRANSIENT	
42	d08b1968-8bc7-4e85-83da-9d7ce0625062	19	hier kommt der Data shit hin	
43	56bf3882-17fa-48d7-b455-fcf87d541803	44	hier kommt der Data shit hin	
44	6c464a62-334f-4b2e-91d7-badce0ea5bc4	28	hier kommt der Data shit hin	
45	56bf3882-17fa-48d7-b455-fcf87d541803	COMMITTED	
46	6c464a62-334f-4b2e-91d7-badce0ea5bc4	COMMITTED	
47	c3f008ea-8517-4eed-b8ad-31a0f1d010da	33	hier kommt der Data shit hin	
48	c3f008ea-8517-4eed-b8ad-31a0f1d010da	COMMITTED	
49	d08b1968-8bc7-4e85-83da-9d7ce0625062	COMMITTED	
50	20b601dd-d79a-4348-9a52-1e144fcc679d	10	hier kommt der Data shit hin	
51	20b601dd-d79a-4348-9a52-1e144fcc679d	COMMITTED	
